YEAR,cropname,Yield,Location,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_SFC_SW_DWN,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,T2M_MAX,T2M_RANGE,WS50M,WSC,NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),ANNUAL RAINFALL (Millimeters)
1990,Rice,2.71208,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,Rice,2.54471,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,Rice,2.37282,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,Rice,2.56757,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,Rice,2.76582,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,Rice,2.66667,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,Rice,3.12174,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,Rice,2.77193,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,Rice,3.24031,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,Rice,3.11396,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,Rice,3.26306,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,Rice,3.11561,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,Rice,2.73626,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,Rice,3.20956,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,Rice,2.37171,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,Rice,3.42459,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,Rice,3.20698,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,Rice,3.49617,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,Rice,3.50042,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,Rice,3.16263,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,Rice,3.54335,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,Rice,3.26184,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,Rice,3.54794,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,Rice,3.5913,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
2014,Rice,3.5591,Karimnagar,18.35,54.8,21.89,0,580.08,98.02,12.57,45.4,34.64,4.73,4.73,72.23,239.88,20.6,68.43,7.17,23.81,733.1
2015,Rice,3.25094,Karimnagar,18.78,54.01,22.01,0,527.34,98.06,12.51,47.11,38.03,4.73,4.73,71.96,362.92,20.02,100.98,8.02,40.43,811
1990,Wheat,0.92105,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,Wheat,0.84615,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,Wheat,0.76667,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,Wheat,0,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,Wheat,0,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,Wheat,0,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,Wheat,0,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,Wheat,0,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,Wheat,0,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,Wheat,0.6875,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,Wheat,0.58824,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,Wheat,0.73333,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,Wheat,0,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,Wheat,0.6,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,Wheat,0.42857,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,Wheat,0.8,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,Wheat,1,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,Wheat,1,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,Wheat,2,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,Wheat,0,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,Wheat,1,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,Wheat,1,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,Wheat,1,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,Wheat,0,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
2014,Wheat,0,Karimnagar,18.35,54.8,21.89,0,580.08,98.02,12.57,45.4,34.64,4.73,4.73,72.23,239.88,20.6,68.43,7.17,23.81,733.1
2015,Wheat,0,Karimnagar,18.78,54.01,22.01,0,527.34,98.06,12.51,47.11,38.03,4.73,4.73,71.96,362.92,20.02,100.98,8.02,40.43,811
1990,SORGHUM,0.68851,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,SORGHUM,0.65228,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,SORGHUM,0.62339,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,SORGHUM,0.7,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,SORGHUM,0.5,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,SORGHUM,0.66667,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,SORGHUM,0.8,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,SORGHUM,0.83333,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,SORGHUM,0.5,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,SORGHUM,0.71786,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,SORGHUM,1.03268,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,SORGHUM,0.96698,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,SORGHUM,0.5,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,SORGHUM,0.91787,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,SORGHUM,0.96484,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,SORGHUM,0.86458,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,SORGHUM,0.97368,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,SORGHUM,0.6875,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,SORGHUM,0,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,SORGHUM,0.84375,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,SORGHUM,1.26923,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,SORGHUM,0.21739,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,SORGHUM,1.08333,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,SORGHUM,1.25,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
2014,SORGHUM,1.51563,Karimnagar,18.35,54.8,21.89,0,580.08,98.02,12.57,45.4,34.64,4.73,4.73,72.23,239.88,20.6,68.43,7.17,23.81,733.1
2015,SORGHUM,2,Karimnagar,18.78,54.01,22.01,0,527.34,98.06,12.51,47.11,38.03,4.73,4.73,71.96,362.92,20.02,100.98,8.02,40.43,811
1990,PEARL MILLET,0.5,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,PEARL MILLET,0,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,PEARL MILLET,0.31818,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,PEARL MILLET,0,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,PEARL MILLET,0,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,PEARL MILLET,0,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,PEARL MILLET,0,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,PEARL MILLET,0,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,PEARL MILLET,0,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,PEARL MILLET,0.58667,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,PEARL MILLET,0.60526,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,PEARL MILLET,0.46809,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,PEARL MILLET,0,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,PEARL MILLET,0.60638,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,PEARL MILLET,0.31481,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,PEARL MILLET,0,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,PEARL MILLET,0.35294,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,PEARL MILLET,0.65714,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,PEARL MILLET,0,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,PEARL MILLET,0.47887,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,PEARL MILLET,0.72593,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,PEARL MILLET,0.63333,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,PEARL MILLET,1.65714,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,PEARL MILLET,0.93909,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
2014,PEARL MILLET,0.94,Karimnagar,18.35,54.8,21.89,0,580.08,98.02,12.57,45.4,34.64,4.73,4.73,72.23,239.88,20.6,68.43,7.17,23.81,733.1
2015,PEARL MILLET,0.93269,Karimnagar,18.78,54.01,22.01,0,527.34,98.06,12.51,47.11,38.03,4.73,4.73,71.96,362.92,20.02,100.98,8.02,40.43,811
1990,Maize,2.61547,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,Maize,2.65444,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,Maize,3.06578,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,Maize,2.91304,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,Maize,3.175,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,Maize,3.30233,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,Maize,3.7957,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,Maize,3.08511,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,Maize,3.84375,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,Maize,4.04276,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,Maize,3.74564,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,Maize,3.95628,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,Maize,3.4717,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,Maize,4.10861,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,Maize,2.58274,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,Maize,4.16257,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,Maize,3.77106,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,Maize,5.78788,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,Maize,4.61865,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,Maize,3.42961,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,Maize,4.78126,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,Maize,3.75683,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,Maize,5.23117,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,Maize,5.46274,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
2014,Maize,5.01721,Karimnagar,18.35,54.8,21.89,0,580.08,98.02,12.57,45.4,34.64,4.73,4.73,72.23,239.88,20.6,68.43,7.17,23.81,733.1
2015,Maize,4.4299,Karimnagar,18.78,54.01,22.01,0,527.34,98.06,12.51,47.11,38.03,4.73,4.73,71.96,362.92,20.02,100.98,8.02,40.43,811
1990,Finger Millet,0,Karimnagar,18.43,65.95,22.74,5.27,1028.32,97.92,13.37,45.14,33.42,5.14,5.14,68.2,143.85,26.53,55.96,5.27,11.12,1356.6
1991,Finger Millet,0,Karimnagar,18.52,65.47,22.6,0,748.83,97.92,12.57,47.54,39.21,5.02,5.02,66.86,130.16,27.8,54.12,5.34,10.4,739
1992,Finger Millet,0,Karimnagar,19.25,56.53,22.43,0,722.46,97.97,11.72,46.15,35.9,4.75,4.75,71.17,143.91,25.57,51.72,3.26,6.59,924
1993,Finger Millet,0,Karimnagar,19.12,62.28,22.66,0,711.91,97.97,11.84,46.79,36.2,4.73,4.73,73.83,157.05,22.11,47.04,4.06,8.63,818
1994,Finger Millet,0,Karimnagar,18.32,60.89,22.62,0,949.22,97.93,12.63,47.34,36.84,4.8,4.8,72.12,170.69,21.47,50.82,6.4,15.15,781
1995,Finger Millet,0,Karimnagar,18.43,59.91,22.25,5.27,1054.69,97.92,13.43,44.83,35.63,4.77,4.77,72.12,157.39,21.47,46.86,6.4,13.97,1079
1996,Finger Millet,0,Karimnagar,18.21,60.03,21.91,0,896.48,97.88,12.45,46.33,37.29,4.73,4.73,70.56,190.69,22.05,59.6,7.39,19.97,854
1997,Finger Millet,0,Karimnagar,18.26,61.88,21.59,0,833.2,98.03,12.88,45.65,37.9,4.57,4.57,72.03,203.13,22.32,62.95,5.65,15.93,734
1998,Finger Millet,0,Karimnagar,18.5,54.48,21.49,0,954.49,97.92,13.43,48.19,37.8,4.59,4.59,70.47,207.57,24.52,72.23,5.01,14.75,1066
1999,Finger Millet,0,Karimnagar,19.07,45.77,22.43,0,595.9,97.87,11.96,46.49,36.22,4.98,4.98,70.47,208.27,24.52,72.48,5.01,14.8,785
2000,Finger Millet,0,Karimnagar,19.02,41.94,22.14,0,675,97.85,11.9,46.48,35.8,4.73,4.73,70.96,247.49,24.09,84.02,4.95,17.28,974
2001,Finger Millet,0,Karimnagar,18.37,58.62,22.75,0,606.45,97.9,12.39,46.61,35.63,4.93,4.93,69.3,245.35,24.77,87.69,5.94,21.02,744
2002,Finger Millet,0,Karimnagar,19.28,53.67,22.78,0,764.65,97.94,12.21,46.77,35.49,4.96,4.96,71.89,260.5,20.53,74.39,7.58,27.47,662
2003,Finger Millet,0,Karimnagar,18.95,58.44,22.86,0,875.39,97.95,12.76,47.08,36.61,4.97,4.97,71.67,250.49,20.26,70.81,8.08,28.22,729
2004,Finger Millet,0,Karimnagar,19.11,53.19,22.88,0,585.35,97.98,12.76,45.48,36.24,4.96,4.96,69.19,162.88,21.84,51.42,8.96,21.1,532
2005,Finger Millet,0,Karimnagar,18.66,58.98,22.8,5.27,1149.61,97.94,13,46.44,37.39,4.72,4.72,69.34,225.52,21.82,70.98,8.84,28.76,995
2006,Finger Millet,0,Karimnagar,18.89,54.09,22.63,5.27,1086.33,97.97,13.49,45,36.34,4.48,4.48,68.27,251.49,22.49,82.83,9.24,34.03,1167
2007,Finger Millet,0,Karimnagar,19.07,53.39,22.52,0,754.1,97.92,12.76,45.82,34.82,4.74,4.74,68.55,264.66,20.39,78.74,11.06,42.71,832
2008,Finger Millet,0,Karimnagar,18.74,52.91,22.37,5.27,986.13,97.91,12.76,45.58,34.63,4.46,4.46,63.5,297.6,21.92,102.73,14.58,68.35,850
2009,Finger Millet,0,Karimnagar,19.35,51.33,22.46,0,706.64,97.91,12.51,46.19,34.61,4.46,4.46,66.95,270.08,20.09,81.04,12.96,52.29,670
2010,Finger Millet,0,Karimnagar,18.07,59.58,22.4,5.27,1228.71,97.89,13.55,47.1,38.07,4.55,4.55,64.98,287.14,22.14,97.85,12.87,56.87,1195.2
2011,Finger Millet,0,Karimnagar,19.07,50.89,22.36,0,569.53,97.9,12.51,45.73,36.92,4.7,4.7,67.65,285.23,25.65,108.16,6.7,28.25,658
2012,Finger Millet,0,Karimnagar,18.64,54.09,22.43,0,817.38,97.89,12.27,46.19,36.94,4.81,4.81,74.45,230.05,19.96,61.67,5.59,17.26,1046.5
2013,Finger Millet,0,Karimnagar,17.83,57.3,22.11,5.27,1191.8,97.91,13.49,47.95,38.23,5.01,5.01,76.71,280.36,17.43,63.7,5.86,21.41,1427.7
